"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","DRR751831","DRR751832","DRR751833","DRR751834","DRR751835","DRR751836","DRR751837","DRR751838","DRR751839","DRR751840","DRR751841"
"yhhX","","putative oxidoreductase YhhX","11","11","1","1","5885","","","","1037","1037","1037","IFAABLLP_00723","KILBOEPI_00909","HAOMLHEB_01209","GMHKIMCO_01186","FEMKLHDF_01617","FAHJDOHN_01487","PKFAGLNB_01645","DHLPIOKO_00804","MMGGOMGI_01341","COBIJBHN_00695","MMKPNOMF_01344"
"group_6008","","hypothetical protein","11","11","1","1","2229","","","","470","470","470","IFAABLLP_03362","KILBOEPI_03575","HAOMLHEB_03409","GMHKIMCO_03544","FEMKLHDF_02846","FAHJDOHN_01105","PKFAGLNB_01151","DHLPIOKO_00416","MMGGOMGI_02956","COBIJBHN_01162","MMKPNOMF_03087"
"pspC","","Phage shock protein C","11","11","1","1","6319","","","","359","359","359","IFAABLLP_02204","KILBOEPI_02428","HAOMLHEB_00054","GMHKIMCO_00178","FEMKLHDF_01947","FAHJDOHN_03246","PKFAGLNB_02554","DHLPIOKO_01581","MMGGOMGI_02165","COBIJBHN_03813","MMKPNOMF_02153"
"uppP","","Undecaprenyl-diphosphatase","11","11","1","1","1730","","","","821","821","821","IFAABLLP_01040","KILBOEPI_00292","HAOMLHEB_00898","GMHKIMCO_00910","FEMKLHDF_00903","FAHJDOHN_00356","PKFAGLNB_00609","DHLPIOKO_00293","MMGGOMGI_00545","COBIJBHN_01492","MMKPNOMF_00398"
"group_6011","","hypothetical protein","11","11","1","1","475","","","","689","689","689","IFAABLLP_00107","KILBOEPI_00093","HAOMLHEB_00353","GMHKIMCO_00324","FEMKLHDF_02303","FAHJDOHN_02966","PKFAGLNB_03366","DHLPIOKO_00108","MMGGOMGI_01708","COBIJBHN_02652","MMKPNOMF_01711"
"speA","","Biosynthetic arginine decarboxylase","11","11","1","1","266","","","","1976","1976","1976","IFAABLLP_01765","KILBOEPI_01667","HAOMLHEB_01610","GMHKIMCO_01723","FEMKLHDF_03199","FAHJDOHN_01247","PKFAGLNB_01293","DHLPIOKO_00558","MMGGOMGI_03314","COBIJBHN_03694","MMKPNOMF_02666"
"yqeG","","Inner membrane transport protein YqeG","11","11","1","1","2209","","","","1229","1229","1229","IFAABLLP_03340","KILBOEPI_03553","HAOMLHEB_03431","GMHKIMCO_03566","FEMKLHDF_02824","FAHJDOHN_01127","PKFAGLNB_01173","DHLPIOKO_00438","MMGGOMGI_02978","COBIJBHN_01140","MMKPNOMF_03065"
"nimT","","2-nitroimidazole transporter","11","11","1","1","5213","","","","1181","1181","1181","IFAABLLP_03519","KILBOEPI_01777","HAOMLHEB_00211","GMHKIMCO_02552","FEMKLHDF_00241","FAHJDOHN_02248","PKFAGLNB_02727","DHLPIOKO_02863","MMGGOMGI_00240","COBIJBHN_00435","MMKPNOMF_00240"
"pmbA","","Metalloprotease PmbA","11","11","1","1","2701","","","","1352","1352","1352","IFAABLLP_03232","KILBOEPI_04742","HAOMLHEB_03393","GMHKIMCO_03452","FEMKLHDF_01200","FAHJDOHN_02401","PKFAGLNB_02983","DHLPIOKO_04375","MMGGOMGI_00985","COBIJBHN_01953","MMKPNOMF_00987"
"glcF","","Glycolate oxidase iron-sulfur subunit","11","11","1","1","1819","","","","1223","1223","1223","IFAABLLP_04658","KILBOEPI_00205","HAOMLHEB_04619","GMHKIMCO_04902","FEMKLHDF_03836","FAHJDOHN_00269","PKFAGLNB_00523","DHLPIOKO_00206","MMGGOMGI_03919","COBIJBHN_01583","MMKPNOMF_03978"
"dlgD","","2,3-diketo-L-gulonate reductase","11","11","1","3","115","","","","998","998","998","IFAABLLP_03608","KILBOEPI_03720","HAOMLHEB_03577","GMHKIMCO_03712","FEMKLHDF_03603","FAHJDOHN_03665","PKFAGLNB_03709","DHLPIOKO_03384","MMGGOMGI_03829","COBIJBHN_02503","MMKPNOMF_03886"
"yciB","","Inner membrane-spanning protein YciB","11","11","1","1","583","","","","539","539","539","IFAABLLP_02029","KILBOEPI_01017","HAOMLHEB_01834","GMHKIMCO_02192","FEMKLHDF_04434","FAHJDOHN_04819","PKFAGLNB_04853","DHLPIOKO_03974","MMGGOMGI_02109","COBIJBHN_05115","MMKPNOMF_02209"
"group_6019","","hypothetical protein","11","11","1","1","1784","","","","494","494","494","IFAABLLP_01095","KILBOEPI_00237","HAOMLHEB_00843","GMHKIMCO_00965","FEMKLHDF_00850","FAHJDOHN_00302","PKFAGLNB_00556","DHLPIOKO_00238","MMGGOMGI_00599","COBIJBHN_01548","MMKPNOMF_00344"
"nepI","","Purine ribonucleoside efflux pump NepI","11","11","1","1","1177","","","","1238","1238","1238","IFAABLLP_02277","KILBOEPI_02045","HAOMLHEB_02084","GMHKIMCO_02203","FEMKLHDF_02144","FAHJDOHN_01714","PKFAGLNB_02060","DHLPIOKO_01655","MMGGOMGI_02442","COBIJBHN_01398","MMKPNOMF_02558"
"ygeX","","Diaminopropionate ammonia-lyase","11","11","1","1","187","","","","1196","1196","1196","IFAABLLP_01682","KILBOEPI_01584","HAOMLHEB_01693","GMHKIMCO_01806","FEMKLHDF_02788","FAHJDOHN_01165","PKFAGLNB_01211","DHLPIOKO_00475","MMGGOMGI_04243","COBIJBHN_02962","MMKPNOMF_04416"
"torR","","TorCAD operon transcriptional regulatory protein TorR","11","11","1","1","3200","","","","692","692","692","IFAABLLP_04068","KILBOEPI_04645","HAOMLHEB_04270","GMHKIMCO_04306","FEMKLHDF_03867","FAHJDOHN_03397","PKFAGLNB_03427","DHLPIOKO_04172","MMGGOMGI_04105","COBIJBHN_03461","MMKPNOMF_04186"
"ffh","","Signal recognition particle protein","11","11","1","1","3181","","","","1361","1361","1361","IFAABLLP_04511","KILBOEPI_04693","HAOMLHEB_04492","GMHKIMCO_04534","FEMKLHDF_04308","FAHJDOHN_04662","PKFAGLNB_04670","DHLPIOKO_04646","MMGGOMGI_03677","COBIJBHN_03281","MMKPNOMF_03734"
"yedI","","Inner membrane protein YedI","11","11","1","1","4861","","","","911","917","914","IFAABLLP_03682","KILBOEPI_04233","HAOMLHEB_02723","GMHKIMCO_02932","FEMKLHDF_00461","FAHJDOHN_04231","PKFAGLNB_04126","DHLPIOKO_03982","MMGGOMGI_01940","COBIJBHN_04139","MMKPNOMF_01937"
"tolR","","Tol-Pal system protein TolR","11","11","1","1","3558","","","","428","428","428","IFAABLLP_04136","KILBOEPI_04176","HAOMLHEB_04104","GMHKIMCO_04140","FEMKLHDF_03906","FAHJDOHN_03789","PKFAGLNB_03861","DHLPIOKO_03057","MMGGOMGI_03950","COBIJBHN_03908","MMKPNOMF_04080"
"yccU","","putative protein YccU","11","11","1","1","2851","","","","413","413","413","IFAABLLP_03993","KILBOEPI_04051","HAOMLHEB_03968","GMHKIMCO_04085","FEMKLHDF_03664","FAHJDOHN_00682","PKFAGLNB_00740","DHLPIOKO_03753","MMGGOMGI_03707","COBIJBHN_00020","MMKPNOMF_03792"
"cusR","","Transcriptional regulatory protein CusR","11","11","1","1","6231","","","","683","683","683","IFAABLLP_01403","KILBOEPI_02274","HAOMLHEB_02410","GMHKIMCO_02501","FEMKLHDF_02879","FAHJDOHN_02029","PKFAGLNB_02409","DHLPIOKO_02065","MMGGOMGI_02618","COBIJBHN_02223","MMKPNOMF_02726"
"lpxP","","Lipid A biosynthesis palmitoleoyltransferase","11","11","1","1","1870","","","","920","920","920","IFAABLLP_03809","KILBOEPI_00849","HAOMLHEB_03888","GMHKIMCO_03971","FEMKLHDF_03488","FAHJDOHN_01301","PKFAGLNB_01470","DHLPIOKO_03679","MMGGOMGI_03441","COBIJBHN_00782","MMKPNOMF_03498"
"rbbA","","Ribosome-associated ATPase","11","11","1","1","5936","","","","2735","2735","2735","IFAABLLP_04271","KILBOEPI_04447","HAOMLHEB_04243","GMHKIMCO_04279","FEMKLHDF_01669","FAHJDOHN_04571","PKFAGLNB_04585","DHLPIOKO_04145","MMGGOMGI_01289","COBIJBHN_00741","MMKPNOMF_01292"
"dcd","","dCTP deaminase","11","11","1","1","6715","","","","581","581","581","IFAABLLP_03221","KILBOEPI_03257","HAOMLHEB_03165","GMHKIMCO_01493","FEMKLHDF_00546","FAHJDOHN_00874","PKFAGLNB_00432","DHLPIOKO_01103","MMGGOMGI_03213","COBIJBHN_01763","MMKPNOMF_03446"
"lysP","","Lysine-specific permease LysP","11","11","1","1","6568","","","","1469","1469","1469","IFAABLLP_03110","KILBOEPI_03206","HAOMLHEB_01796","GMHKIMCO_01909","FEMKLHDF_00678","FAHJDOHN_00777","PKFAGLNB_00335","DHLPIOKO_03803","MMGGOMGI_00771","COBIJBHN_02916","MMKPNOMF_00692"
"group_6032","","hypothetical protein","11","11","1","2","297","","","","3983","3983","3983","IFAABLLP_00877","KILBOEPI_00451","HAOMLHEB_02838","GMHKIMCO_03047","FEMKLHDF_02700","FAHJDOHN_02586","PKFAGLNB_01696","DHLPIOKO_02220","MMGGOMGI_02559","COBIJBHN_04171","MMKPNOMF_02425"
"ygcP","","putative protein YgcP","11","11","1","1","2313","","","","575","575","575","IFAABLLP_01584","KILBOEPI_01347","HAOMLHEB_01530","GMHKIMCO_01643","FEMKLHDF_03537","FAHJDOHN_01842","PKFAGLNB_02185","DHLPIOKO_00639","MMGGOMGI_03462","COBIJBHN_01221","MMKPNOMF_03519"
"narI","","Respiratory nitrate reductase 1 gamma chain","11","11","1","1","645","","","","677","677","677","IFAABLLP_02057","KILBOEPI_01045","HAOMLHEB_01862","GMHKIMCO_02164","FEMKLHDF_03323","FAHJDOHN_03837","PKFAGLNB_02364","DHLPIOKO_03946","MMGGOMGI_02813","COBIJBHN_02824","MMKPNOMF_02828"
"treC","","Trehalose-6-phosphate hydrolase","11","11","1","1","2729","","","","1655","1655","1655","IFAABLLP_05143","KILBOEPI_05355","HAOMLHEB_05174","GMHKIMCO_05151","FEMKLHDF_01204","FAHJDOHN_02397","PKFAGLNB_02979","DHLPIOKO_04918","MMGGOMGI_00981","COBIJBHN_01957","MMKPNOMF_00983"
"flgC_1","","Flagellar basal-body rod protein FlgC","11","11","1","1","1387","","","","404","404","404","IFAABLLP_02655","KILBOEPI_02543","HAOMLHEB_02240","GMHKIMCO_02661","FEMKLHDF_03036","FAHJDOHN_02767","PKFAGLNB_03070","DHLPIOKO_02307","MMGGOMGI_02869","COBIJBHN_03631","MMKPNOMF_02976"
"group_6037","","hypothetical protein","11","11","1","4","54","","","","1040","1040","1040","IFAABLLP_03908","KILBOEPI_04000","HAOMLHEB_03917","GMHKIMCO_04000","FEMKLHDF_04651","FAHJDOHN_03051","PKFAGLNB_03261","DHLPIOKO_03740","MMGGOMGI_03854","COBIJBHN_02754","MMKPNOMF_03911"
"nikB","","Nickel transport system permease protein NikB","11","11","1","1","5921","","","","944","944","944","IFAABLLP_00760","KILBOEPI_00872","HAOMLHEB_01172","GMHKIMCO_01149","FEMKLHDF_01654","FAHJDOHN_01451","PKFAGLNB_01681","DHLPIOKO_00767","MMGGOMGI_01304","COBIJBHN_00733","MMKPNOMF_01307"
"yhaH","","Inner membrane protein YhaH","11","11","1","1","1680","","","","365","365","365","IFAABLLP_00988","KILBOEPI_00344","HAOMLHEB_00950","GMHKIMCO_00858","FEMKLHDF_00953","FAHJDOHN_00406","PKFAGLNB_00659","DHLPIOKO_00345","MMGGOMGI_00495","COBIJBHN_03355","MMKPNOMF_00448"
"group_604","","hypothetical protein","11","11","1","1","335","","","","1181","1220","1209","IFAABLLP_00016","KILBOEPI_00184","HAOMLHEB_00444","GMHKIMCO_00415","FEMKLHDF_04053","FAHJDOHN_04344","PKFAGLNB_04364","DHLPIOKO_00017","MMGGOMGI_04122","COBIJBHN_04003","MMKPNOMF_04231"
"mrp","","Iron-sulfur cluster carrier protein","11","11","1","1","6618","","","","1109","1109","1109","IFAABLLP_03664","KILBOEPI_03773","HAOMLHEB_03608","GMHKIMCO_01544","FEMKLHDF_00630","FAHJDOHN_00825","PKFAGLNB_00383","DHLPIOKO_01052","MMGGOMGI_00819","COBIJBHN_04047","MMKPNOMF_00645"
"ddpA","","putative D,D-dipeptide-binding periplasmic protein DdpA","11","11","1","1","5982","","","","1550","1550","1550","IFAABLLP_04336","KILBOEPI_02768","HAOMLHEB_04309","GMHKIMCO_04345","FEMKLHDF_04142","FAHJDOHN_04077","PKFAGLNB_04073","DHLPIOKO_04267","MMGGOMGI_04298","COBIJBHN_03748","MMKPNOMF_04342"
"alaC","","Glutamate-pyruvate aminotransferase AlaC","11","11","1","1","1869","","","","1238","1238","1238","IFAABLLP_03808","KILBOEPI_00848","HAOMLHEB_03889","GMHKIMCO_03972","FEMKLHDF_03487","FAHJDOHN_01300","PKFAGLNB_01471","DHLPIOKO_03680","MMGGOMGI_03442","COBIJBHN_00781","MMKPNOMF_03499"
"bioH","","Pimeloyl-[acyl-carrier protein] methyl ester esterase","11","11","1","1","5854","","","","770","770","770","IFAABLLP_00694","KILBOEPI_00938","HAOMLHEB_01238","GMHKIMCO_01215","FEMKLHDF_01586","FAHJDOHN_01516","PKFAGLNB_01616","DHLPIOKO_00833","MMGGOMGI_01372","COBIJBHN_00666","MMKPNOMF_01375"
"rtcA","","RNA 3'-terminal phosphate cyclase","11","11","1","1","5861","","","","1016","1016","1016","IFAABLLP_00701","KILBOEPI_00931","HAOMLHEB_01231","GMHKIMCO_01208","FEMKLHDF_01593","FAHJDOHN_01509","PKFAGLNB_01623","DHLPIOKO_00826","MMGGOMGI_01365","COBIJBHN_00673","MMKPNOMF_01368"
"ulaE_2","","L-ribulose-5-phosphate 3-epimerase UlaE","11","11","1","3","122","","","","860","860","860","IFAABLLP_03615","KILBOEPI_03713","HAOMLHEB_03584","GMHKIMCO_03719","FEMKLHDF_03596","FAHJDOHN_03672","PKFAGLNB_03716","DHLPIOKO_03377","MMGGOMGI_03836","COBIJBHN_02510","MMKPNOMF_03893"
"secE","","Protein translocase subunit SecE","11","11","1","7","5","","","","383","383","383","IFAABLLP_04669","KILBOEPI_04568","HAOMLHEB_04345","GMHKIMCO_04653","FEMKLHDF_04355","FAHJDOHN_04184","PKFAGLNB_04244","DHLPIOKO_04472","MMGGOMGI_04542","COBIJBHN_04256","MMKPNOMF_04631"
"ybgI","","GTP cyclohydrolase 1 type 2 ","11","11","1","1","3527","","","","743","743","743","IFAABLLP_04106","KILBOEPI_04145","HAOMLHEB_04134","GMHKIMCO_04170","FEMKLHDF_03937","FAHJDOHN_03819","PKFAGLNB_03831","DHLPIOKO_03027","MMGGOMGI_03981","COBIJBHN_03877","MMKPNOMF_04049"
"dctM_1","","C4-dicarboxylate TRAP transporter large permease protein DctM","11","11","1","1","284","","","","1289","1301","1299","IFAABLLP_01783","KILBOEPI_01685","HAOMLHEB_01592","GMHKIMCO_01705","FEMKLHDF_03181","FAHJDOHN_01265","PKFAGLNB_01311","DHLPIOKO_00576","MMGGOMGI_03332","COBIJBHN_03676","MMKPNOMF_02684"
"ubiJ","","Ubiquinone biosynthesis accessory factor UbiJ","11","11","1","5","74","","","","605","605","605","IFAABLLP_02884","KILBOEPI_02875","HAOMLHEB_02909","GMHKIMCO_03118","FEMKLHDF_03160","FAHJDOHN_02898","PKFAGLNB_03139","DHLPIOKO_02687","MMGGOMGI_03110","COBIJBHN_02538","MMKPNOMF_03299"
"dnaN","","Beta sliding clamp","11","11","1","1","1268","","","","1100","1100","1100","IFAABLLP_02318","KILBOEPI_02003","HAOMLHEB_02125","GMHKIMCO_02244","FEMKLHDF_02184","FAHJDOHN_01756","PKFAGLNB_02017","DHLPIOKO_01696","MMGGOMGI_03045","COBIJBHN_01440","MMKPNOMF_03152"
"yejE","","Inner membrane ABC transporter permease protein YejE","11","11","1","1","6542","","","","1025","1025","1025","IFAABLLP_03134","KILBOEPI_03230","HAOMLHEB_01772","GMHKIMCO_01885","FEMKLHDF_00703","FAHJDOHN_00751","PKFAGLNB_00309","DHLPIOKO_04422","MMGGOMGI_00746","COBIJBHN_02893","MMKPNOMF_00717"
"group_6055","","hypothetical protein","11","11","1","1","4807","","","","914","914","914","IFAABLLP_04170","KILBOEPI_02733","HAOMLHEB_04078","GMHKIMCO_04111","FEMKLHDF_03722","FAHJDOHN_03746","PKFAGLNB_03813","DHLPIOKO_03338","MMGGOMGI_03529","COBIJBHN_04452","MMKPNOMF_03586"
"xylB","","Xylulose kinase","11","11","1","3","104","","","","1454","1454","1454","IFAABLLP_03596","KILBOEPI_03732","HAOMLHEB_03565","GMHKIMCO_03700","FEMKLHDF_03615","FAHJDOHN_03653","PKFAGLNB_03697","DHLPIOKO_03396","MMGGOMGI_03817","COBIJBHN_02491","MMKPNOMF_03874"
"group_6057","","hypothetical protein","11","11","1","1","1273","","","","656","656","656","IFAABLLP_02313","KILBOEPI_02008","HAOMLHEB_02120","GMHKIMCO_02239","FEMKLHDF_02179","FAHJDOHN_01751","PKFAGLNB_02022","DHLPIOKO_01691","MMGGOMGI_03040","COBIJBHN_01434","MMKPNOMF_03147"
"arsC","","Arsenate reductase","11","11","1","1","5957","","","","425","425","425","IFAABLLP_04290","KILBOEPI_04428","HAOMLHEB_04224","GMHKIMCO_04260","FEMKLHDF_01688","FAHJDOHN_04589","PKFAGLNB_04603","DHLPIOKO_04126","MMGGOMGI_01270","COBIJBHN_00762","MMKPNOMF_01273"
"nirC","","Nitrite transporter NirC","11","11","1","1","5810","","","","806","806","806","IFAABLLP_00650","KILBOEPI_00982","HAOMLHEB_01282","GMHKIMCO_01259","FEMKLHDF_01542","FAHJDOHN_01560","PKFAGLNB_01572","DHLPIOKO_00877","MMGGOMGI_01416","COBIJBHN_00621","MMKPNOMF_01419"
"thrB","","Homoserine kinase","11","11","1","1","5564","","","","932","932","932","IFAABLLP_01298","KILBOEPI_03492","HAOMLHEB_01340","GMHKIMCO_01391","FEMKLHDF_04264","FAHJDOHN_00210","PKFAGLNB_00038","DHLPIOKO_01009","MMGGOMGI_04399","COBIJBHN_00992","MMKPNOMF_04514"
"manZ_2","","PTS system mannose-specific EIID component","11","11","1","1","1644","","","","791","791","791","IFAABLLP_00953","KILBOEPI_00380","HAOMLHEB_00985","GMHKIMCO_00823","FEMKLHDF_00989","FAHJDOHN_00441","PKFAGLNB_00694","DHLPIOKO_00380","MMGGOMGI_00460","COBIJBHN_03320","MMKPNOMF_00483"
"yhhT_1","","Putative transport protein YhhT","11","11","1","1","3822","","","","1061","1061","1061","IFAABLLP_00287","KILBOEPI_00740","HAOMLHEB_00548","GMHKIMCO_00533","FEMKLHDF_01797","FAHJDOHN_00985","PKFAGLNB_01047","DHLPIOKO_01775","MMGGOMGI_01534","COBIJBHN_02327","MMKPNOMF_01537"
"xylA","","Xylose isomerase","11","11","1","3","105","","","","1322","1322","1322","IFAABLLP_03597","KILBOEPI_03731","HAOMLHEB_03566","GMHKIMCO_03701","FEMKLHDF_03614","FAHJDOHN_03654","PKFAGLNB_03698","DHLPIOKO_03395","MMGGOMGI_03818","COBIJBHN_02492","MMKPNOMF_03875"
"tgt","","Queuine tRNA-ribosyltransferase","11","11","1","2","78","","","","1127","1127","1127","IFAABLLP_02742","KILBOEPI_01195","HAOMLHEB_02575","GMHKIMCO_02753","FEMKLHDF_02612","FAHJDOHN_02316","PKFAGLNB_01782","DHLPIOKO_02429","MMGGOMGI_02267","COBIJBHN_01701","MMKPNOMF_02265"
"ycjR","","3-dehydro-D-guloside 4-epimerase","11","11","1","1","6310","","","","788","788","788","IFAABLLP_02195","KILBOEPI_02419","HAOMLHEB_00063","GMHKIMCO_00169","FEMKLHDF_01956","FAHJDOHN_03237","PKFAGLNB_02563","DHLPIOKO_01572","MMGGOMGI_02173","COBIJBHN_03806","MMKPNOMF_02145"
"speF","","Inducible ornithine decarboxylase","11","11","1","1","6117","","","","2198","2198","2198","IFAABLLP_01527","KILBOEPI_04762","HAOMLHEB_04659","GMHKIMCO_04691","FEMKLHDF_04284","FAHJDOHN_04481","PKFAGLNB_04443","DHLPIOKO_04481","MMGGOMGI_04470","COBIJBHN_04234","MMKPNOMF_04565"
"rhlB","","ATP-dependent RNA helicase RhlB","11","11","1","5","20","","","","1265","1265","1265","IFAABLLP_02823","KILBOEPI_02814","HAOMLHEB_02970","GMHKIMCO_03179","FEMKLHDF_03100","FAHJDOHN_02838","PKFAGLNB_03200","DHLPIOKO_02748","MMGGOMGI_03170","COBIJBHN_02595","MMKPNOMF_03359"
"cynS","","Cyanate hydratase","11","11","1","2","325","","","","470","470","470","IFAABLLP_00906","KILBOEPI_00422","HAOMLHEB_02867","GMHKIMCO_03076","FEMKLHDF_02671","FAHJDOHN_02557","PKFAGLNB_01725","DHLPIOKO_02191","MMGGOMGI_02588","COBIJBHN_03844","MMKPNOMF_02454"
"folC","","Dihydrofolate synthase/folylpolyglutamate synthase","11","11","1","1","4510","","","","1268","1268","1268","IFAABLLP_01169","KILBOEPI_02158","HAOMLHEB_01068","GMHKIMCO_01039","FEMKLHDF_00829","FAHJDOHN_01353","PKFAGLNB_01418","DHLPIOKO_01205","MMGGOMGI_00620","COBIJBHN_00835","MMKPNOMF_00843"
"adiA","","Biodegradative arginine decarboxylase","11","11","1","1","518","","","","1544","2270","2204","IFAABLLP_00068","KILBOEPI_00132","HAOMLHEB_00392","GMHKIMCO_00363","FEMKLHDF_02257","FAHJDOHN_02927","PKFAGLNB_03327","DHLPIOKO_00069","MMGGOMGI_01754","COBIJBHN_02692","MMKPNOMF_01757"
"yihT","","Sulfofructosephosphate aldolase","11","11","1","4","31","","","","878","878","878","IFAABLLP_04392","KILBOEPI_04480","HAOMLHEB_04377","GMHKIMCO_04416","FEMKLHDF_04078","FAHJDOHN_03073","PKFAGLNB_03283","DHLPIOKO_04297","MMGGOMGI_04185","COBIJBHN_02735","MMKPNOMF_04278"
"ychN","","Protein YchN","11","11","1","1","636","","","","353","353","353","IFAABLLP_02066","KILBOEPI_01054","HAOMLHEB_01871","GMHKIMCO_02155","FEMKLHDF_03332","FAHJDOHN_03829","PKFAGLNB_02356","DHLPIOKO_03937","MMGGOMGI_02804","COBIJBHN_02833","MMKPNOMF_02837"
"hyaB","","Hydrogenase-1 large chain","11","11","1","1","3223","","","","1793","1793","1793","IFAABLLP_04046","KILBOEPI_05325","HAOMLHEB_04248","GMHKIMCO_04284","FEMKLHDF_04558","FAHJDOHN_03419","PKFAGLNB_03405","DHLPIOKO_04150","MMGGOMGI_04692","COBIJBHN_03484","MMKPNOMF_04846"
"group_6073","","hypothetical protein","11","11","1","1","1772","","","","2219","2219","2219","IFAABLLP_01082","KILBOEPI_00250","HAOMLHEB_00856","GMHKIMCO_00952","FEMKLHDF_00863","FAHJDOHN_00315","PKFAGLNB_00569","DHLPIOKO_00251","MMGGOMGI_00586","COBIJBHN_01534","MMKPNOMF_00357"
"queA","","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","11","11","1","2","77","","","","1070","1070","1070","IFAABLLP_02741","KILBOEPI_01194","HAOMLHEB_02576","GMHKIMCO_02752","FEMKLHDF_02613","FAHJDOHN_02317","PKFAGLNB_01781","DHLPIOKO_02430","MMGGOMGI_02266","COBIJBHN_01702","MMKPNOMF_02264"
"chuR_1","","Serine-type anaerobic sulfatase-maturating enzyme","11","11","1","5","37","","","","1235","1235","1235","IFAABLLP_02845","KILBOEPI_02836","HAOMLHEB_02948","GMHKIMCO_03157","FEMKLHDF_03122","FAHJDOHN_02860","PKFAGLNB_03178","DHLPIOKO_02726","MMGGOMGI_03148","COBIJBHN_02573","MMKPNOMF_03337"
"ybjI","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","11","11","1","1","3007","","","","815","815","815","IFAABLLP_01820","KILBOEPI_03415","HAOMLHEB_02751","GMHKIMCO_03000","FEMKLHDF_02408","FAHJDOHN_00553","PKFAGLNB_00869","DHLPIOKO_01323","MMGGOMGI_01981","COBIJBHN_00209","MMKPNOMF_01978"
"aphA","","Class B acid phosphatase","11","11","1","1","450","","","","713","713","713","IFAABLLP_00133","KILBOEPI_00067","HAOMLHEB_00327","GMHKIMCO_00298","FEMKLHDF_02329","FAHJDOHN_02992","PKFAGLNB_03392","DHLPIOKO_00134","MMGGOMGI_01682","COBIJBHN_02625","MMKPNOMF_01685"
"fdoH","","Formate dehydrogenase-O iron-sulfur subunit","11","11","1","4","50","","","","902","902","902","IFAABLLP_03903","KILBOEPI_03995","HAOMLHEB_03912","GMHKIMCO_03995","FEMKLHDF_04646","FAHJDOHN_03056","PKFAGLNB_03266","DHLPIOKO_03745","MMGGOMGI_03849","COBIJBHN_02749","MMKPNOMF_03906"
"dmlR_2","","HTH-type transcriptional regulator DmlR","11","11","1","1","5202","","","","923","923","923","IFAABLLP_03510","KILBOEPI_04094","HAOMLHEB_04011","GMHKIMCO_02562","FEMKLHDF_00251","FAHJDOHN_02709","PKFAGLNB_01997","DHLPIOKO_03926","MMGGOMGI_00250","COBIJBHN_00427","MMKPNOMF_00250"
"ydcV","","Inner membrane ABC transporter permease protein YdcV","11","11","1","1","6031","","","","794","794","794","IFAABLLP_04834","KILBOEPI_05038","HAOMLHEB_04920","GMHKIMCO_00014","FEMKLHDF_02054","FAHJDOHN_04529","PKFAGLNB_04573","DHLPIOKO_04678","MMGGOMGI_04705","COBIJBHN_04093","MMKPNOMF_03221"
"hemN","","Oxygen-independent coproporphyrinogen III oxidase","11","11","1","4","15","","","","1373","1373","1373","IFAABLLP_04410","KILBOEPI_04462","HAOMLHEB_04359","GMHKIMCO_04434","FEMKLHDF_04095","FAHJDOHN_03090","PKFAGLNB_03300","DHLPIOKO_04279","MMGGOMGI_04168","COBIJBHN_02718","MMKPNOMF_04295"
"glyS","","Glycine--tRNA ligase beta subunit","11","11","1","3","98","","","","2069","2069","2069","IFAABLLP_03590","KILBOEPI_03738","HAOMLHEB_03559","GMHKIMCO_03694","FEMKLHDF_03621","FAHJDOHN_03647","PKFAGLNB_03691","DHLPIOKO_03402","MMGGOMGI_03811","COBIJBHN_02485","MMKPNOMF_03868"
"mfd","","Transcription-repair-coupling factor","11","11","1","1","1348","","","","3494","3494","3494","IFAABLLP_02696","KILBOEPI_02584","HAOMLHEB_02199","GMHKIMCO_02620","FEMKLHDF_02995","FAHJDOHN_02808","PKFAGLNB_03111","DHLPIOKO_02266","MMGGOMGI_02910","COBIJBHN_04376","MMKPNOMF_03017"
"group_6084","","hypothetical protein","11","11","1","1","5869","","","","605","605","605","IFAABLLP_00708","KILBOEPI_00924","HAOMLHEB_01224","GMHKIMCO_01201","FEMKLHDF_01600","FAHJDOHN_01502","PKFAGLNB_01630","DHLPIOKO_00819","MMGGOMGI_01358","COBIJBHN_00680","MMKPNOMF_01361"
"group_6085","","putative protein","11","11","1","1","3796","","","","863","863","863","IFAABLLP_00266","KILBOEPI_00761","HAOMLHEB_00527","GMHKIMCO_00554","FEMKLHDF_01773","FAHJDOHN_00964","PKFAGLNB_01068","DHLPIOKO_01796","MMGGOMGI_01510","COBIJBHN_02300","MMKPNOMF_01513"
"yqaA","","Inner membrane protein YqaA","11","11","1","1","2402","","","","428","428","428","IFAABLLP_04736","KILBOEPI_04802","HAOMLHEB_04773","GMHKIMCO_04778","FEMKLHDF_04911","FAHJDOHN_04300","PKFAGLNB_04297","DHLPIOKO_00730","MMGGOMGI_04480","COBIJBHN_03227","MMKPNOMF_04597"
